id,date,price,predict_price,error,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,age
3980300371,2014-09-26,142000,-394734,377,0,0.0,290,20875,1.0,0,0,1,1,290,0,1963,0,98024,47.53125,-121.875,1620,22850,52
7631800110,2014-09-18,380000,1415605,272,3,2.5,1980,17342,2.0,1,4,3,10,1580,400,1984,0,98166,47.46875,-122.375,2060,17313,31
2626119062,2014-11-12,155000,408760,163,3,1.0,1300,6098,1.0,0,0,3,7,1300,0,2013,0,98014,47.71875,-121.375,1300,6849,2
3621059043,2014-05-27,293000,742864,153,4,2.5,3250,235063,1.0,0,2,3,9,3250,0,1973,0,98092,47.25,-122.125,1600,44287,42
6169901185,2014-05-20,490000,1215865,148,5,3.5,4460,2975,3.0,0,2,3,10,3280,1180,2015,0,98119,47.625,-122.375,2490,4231,0
7942601475,2014-05-20,345600,817141,136,5,3.5,2800,5120,2.5,0,0,3,9,2800,0,1903,2005,98122,47.59375,-122.3125,1780,5120,112
5216200090,2014-06-16,385000,901324,134,2,1.0,830,26329,1.0,1,3,4,6,830,0,1928,0,98070,47.40625,-122.4375,2030,27338,87
2867300190,2014-05-28,363000,849961,134,4,2.5,3753,7204,2.0,0,0,3,10,3336,417,2008,0,98023,47.3125,-122.375,3494,9375,7
6137610540,2014-08-27,490000,1127773,130,3,2.25,2550,8588,1.0,0,4,3,9,2550,0,1989,0,98011,47.78125,-122.1875,3050,8588,26
2325069054,2014-05-21,225000,498627,121,2,1.0,1396,111949,1.0,0,0,3,7,1396,0,1940,1997,98053,47.625,-122.0,2020,111949,75
594000115,2014-05-12,615000,1337850,117,2,1.75,2040,28593,1.5,1,3,4,7,2040,0,1919,1990,98070,47.40625,-122.4375,2040,35124,96
2424059170,2015-02-19,900000,1960162,117,5,6.0,7120,40806,2.0,0,4,3,12,5480,1640,2007,0,98006,47.53125,-122.125,3440,36859,8
2114700090,2015-03-01,151000,-22274,114,2,0.75,720,5040,1.0,0,0,3,4,720,0,1949,0,98106,47.53125,-122.375,1290,4120,66
3163600076,2014-07-30,152275,325644,113,1,1.0,1020,6871,1.0,0,0,3,6,1020,0,1937,1946,98146,47.5,-122.3125,1260,6933,78
1788800770,2014-07-28,187500,-25483,113,3,1.0,840,8400,1.0,0,0,3,6,840,0,1959,0,98023,47.3125,-122.375,1030,8640,56
2867300030,2014-08-01,442000,937379,112,4,4.0,4168,8485,2.0,0,0,3,10,3222,946,2007,0,98023,47.3125,-122.375,4362,8100,8
7896300592,2015-01-14,303500,641139,111,6,4.5,3390,7200,2.0,0,0,3,8,2440,950,2007,0,98118,47.53125,-122.3125,2040,7214,8
2143701015,2014-12-10,290500,611519,110,4,3.25,2510,7686,2.0,0,0,3,9,2510,0,2003,0,98055,47.46875,-122.25,2510,6732,12
9310300160,2014-08-28,357000,750607,110,5,2.5,2990,9240,2.0,0,0,3,8,2990,0,2015,0,98133,47.75,-122.375,1970,18110,0
1525069021,2014-12-01,400000,838586,109,3,2.5,2580,214315,1.5,0,0,3,8,2580,0,1946,1986,98053,47.65625,-122.0,2580,70131,69
7663700401,2014-12-20,229000,475285,107,4,1.5,1820,22814,1.5,0,0,3,7,1820,0,1920,0,98125,47.71875,-122.3125,1770,9150,95
1608000120,2015-02-02,255000,526749,106,3,2.5,2555,5720,2.0,0,0,3,8,2555,0,2006,0,98031,47.375,-122.1875,2844,5769,9
8665000040,2014-07-30,360000,733450,103,4,2.5,3200,7282,2.0,0,0,3,9,3200,0,2007,0,98188,47.4375,-122.3125,3030,7290,8
7298050110,2015-03-03,420000,851792,102,4,2.5,3360,11637,2.0,0,0,3,11,3360,0,1990,0,98023,47.3125,-122.3125,3530,11205,25
844001145,2015-03-26,208500,-5126,102,2,1.0,880,4814,1.0,0,0,4,5,880,0,1906,0,98010,47.3125,-122.0,1010,6160,109
3379200100,2014-05-23,334000,676242,102,4,2.5,2210,6080,1.0,0,2,4,8,1410,800,1965,0,98178,47.5,-122.25,2210,6175,50
7399100210,2014-11-26,140000,279686,99,3,1.5,1200,2002,2.0,0,0,3,8,1200,0,1966,0,98055,47.46875,-122.1875,1270,1848,49
623049232,2014-07-15,115000,2790,97,2,0.75,550,7980,1.0,0,0,3,5,550,0,1952,0,98146,47.5,-122.375,1330,7980,63
2473370750,2015-02-24,430000,847348,97,3,1.75,3440,10428,1.5,0,0,5,8,3440,0,1974,0,98058,47.4375,-122.125,2160,8400,41
1221039066,2014-10-17,310000,609275,96,4,2.5,3140,22100,1.0,0,0,4,8,1820,1320,1960,0,98023,47.3125,-122.375,2700,25500,55
7131300047,2014-08-26,235000,459373,95,2,1.0,2150,4500,1.5,0,0,3,7,1260,890,1917,0,98118,47.53125,-122.25,1590,5010,98
1670400090,2014-11-24,182000,10794,94,3,1.0,1160,18055,1.0,0,0,2,5,1160,0,1950,0,98168,47.46875,-122.25,1340,10324,65
9429400170,2014-06-25,309620,601356,94,3,2.5,1860,3730,2.0,0,0,3,8,1860,0,2012,0,98019,47.75,-122.0,2110,4509,3
3782760040,2014-06-03,402500,778430,93,3,3.25,2780,4002,2.0,0,0,3,8,2780,0,2009,0,98019,47.75,-121.9375,1890,4090,6
3824100211,2014-06-26,370000,714060,92,3,1.5,2380,14500,1.0,0,0,4,7,1850,530,1961,0,98028,47.78125,-122.25,1830,13600,54
1788700230,2014-05-06,191000,16569,91,3,1.5,800,8850,1.0,0,0,4,6,800,0,1959,0,98023,47.3125,-122.375,820,8775,56
5745600040,2014-08-14,359000,683727,90,3,1.75,2200,11520,1.0,0,0,4,7,2200,0,1952,0,98133,47.78125,-122.3125,1690,8038,63
1657300450,2014-10-29,340000,644855,89,3,2.25,2630,9916,2.0,0,0,4,9,2630,0,1988,0,98092,47.34375,-122.1875,2470,10810,27
5267000180,2014-08-21,299000,564636,88,3,2.25,2540,9961,1.0,0,0,4,8,1320,1220,1969,0,98031,47.40625,-122.1875,1870,10251,46
7877400245,2014-07-18,193000,23873,87,3,1.0,960,10761,1.0,0,0,4,6,960,0,1962,0,98002,47.28125,-122.25,960,10761,53
722059020,2015-03-18,550000,1028791,87,6,4.5,4520,40164,2.0,0,0,3,9,3580,940,1953,2008,98031,47.40625,-122.1875,2870,13068,62
7883603648,2014-05-22,300000,558327,86,5,2.5,2760,6000,2.0,0,0,3,8,2760,0,2006,0,98108,47.53125,-122.3125,1360,6000,9
1180000830,2014-10-02,460000,851931,85,4,3.5,2870,3225,2.0,0,3,3,9,2070,800,2006,0,98178,47.5,-122.25,1770,6450,9
2867300160,2014-09-04,450000,834951,85,5,3.5,3931,9497,2.0,0,0,3,10,2650,1281,2014,0,98023,47.3125,-122.375,3510,9497,1
2738640470,2014-07-16,623300,1148215,84,4,3.5,4170,4524,2.0,0,0,3,9,3500,670,2007,0,98072,47.78125,-122.1875,3510,5001,8
9264910300,2014-07-10,345000,634138,83,3,1.75,3140,8571,1.0,0,0,4,8,1670,1470,1985,0,98023,47.3125,-122.3125,2590,7949,30
4137020820,2014-10-27,268000,491912,83,4,3.0,1840,7510,2.0,0,0,5,8,1840,0,1988,2013,98092,47.25,-122.1875,1650,7957,27
1099950050,2014-12-29,620000,1136058,83,4,3.5,3880,8244,2.0,0,0,3,10,3060,820,2007,0,98019,47.75,-122.0,3180,10947,8
3211260120,2014-12-15,370000,675883,82,3,2.25,3230,35306,2.0,0,0,3,9,3230,0,1987,0,98092,47.3125,-122.125,2760,35285,28
8598900157,2015-03-13,263700,477003,80,3,1.0,1200,6561,1.0,0,0,3,6,1200,0,1950,1968,98177,47.78125,-122.375,1340,9450,65
3221069057,2014-11-05,280000,54635,80,3,1.0,1310,22652,1.0,0,0,3,7,1310,0,1968,0,98092,47.25,-122.0625,1600,103672,47
1545807180,2015-05-06,190000,342414,80,4,1.75,1900,9861,1.0,0,0,4,7,1900,0,1967,0,98038,47.375,-122.0625,1720,7967,48
7893802670,2015-04-24,279900,506085,80,3,3.25,2240,5000,2.0,0,0,3,9,1540,700,1989,0,98198,47.40625,-122.3125,1800,7500,26
2457200120,2015-03-03,359000,644374,79,3,2.0,3085,7280,1.0,0,0,4,7,1560,1525,1959,0,98056,47.5,-122.1875,1480,7900,56
3421069049,2014-10-21,565000,117704,79,2,1.75,1130,276170,1.0,0,0,3,8,1130,0,2006,0,98022,47.28125,-122.0,2092,217800,9
1117000150,2015-03-17,270000,480606,78,3,2.25,2140,9990,1.0,0,0,4,8,2140,0,1962,0,98003,47.34375,-122.3125,2060,9990,53
2781270530,2015-03-26,193000,42290,78,2,1.75,910,2550,1.0,0,0,3,6,910,0,2004,0,98038,47.34375,-122.0,1310,2550,11
1062100100,2014-06-26,424000,750656,77,4,2.0,2100,4857,2.0,0,0,3,8,2100,0,1965,1984,98155,47.75,-122.25,1450,5965,50
6056100150,2014-06-23,160797,284617,77,3,1.5,1270,2356,2.0,0,0,3,7,1270,0,2012,0,98108,47.5625,-122.3125,1490,2175,3
522049122,2015-04-02,195000,344068,76,4,1.75,1320,7694,1.0,0,0,3,7,1320,0,1928,1972,98148,47.4375,-122.3125,1620,8468,87
7772850060,2014-11-10,290000,512920,76,3,2.5,1420,3542,2.0,0,0,3,8,1310,110,2007,0,98133,47.78125,-122.3125,1180,1622,8
6058600220,2014-07-31,230000,406724,76,3,1.5,1040,1264,2.0,0,0,3,9,900,140,2015,0,98144,47.59375,-122.3125,1350,3000,0
6145601745,2015-04-14,220000,385050,75,2,1.0,890,4804,1.0,0,0,4,7,890,0,1928,0,98133,47.6875,-122.375,1010,3844,87
8856003525,2015-03-23,183500,44404,75,3,1.0,1010,7520,1.0,0,0,4,6,1010,0,1975,0,98001,47.28125,-122.25,1370,8469,40
5631500292,2015-04-20,600000,1054508,75,3,3.0,3530,8345,2.0,0,0,3,10,3530,0,2006,0,98028,47.71875,-122.25,1940,9600,9
6056100165,2014-12-01,175003,307819,75,3,1.5,1390,1882,2.0,0,0,3,7,1390,0,2014,0,98108,47.5625,-122.3125,1490,2175,1
1823059241,2015-04-08,609000,1067276,75,4,3.5,3990,11270,2.0,0,3,3,9,2930,1060,2007,0,98055,47.5,-122.25,1980,11328,8
2708450020,2014-09-12,450000,790685,75,4,2.5,3236,9608,2.0,0,0,3,10,3236,0,2005,0,98030,47.375,-122.1875,3236,9660,10
5379801920,2015-04-15,500000,873821,74,4,2.5,3630,7482,2.0,0,0,3,10,3630,0,2008,0,98188,47.46875,-122.3125,1600,15716,7
2619950070,2014-08-26,430000,751675,74,4,2.5,2750,7200,2.0,0,0,3,8,2750,0,2011,0,98019,47.71875,-121.9375,2750,7200,4
3876590090,2014-09-09,374500,647971,73,4,2.5,3135,5811,2.0,0,0,3,9,3135,0,2005,0,98092,47.3125,-122.1875,3008,5799,10
2123049086,2014-08-07,210000,57014,72,2,0.75,840,49658,1.0,0,0,2,6,840,0,1948,0,98168,47.46875,-122.3125,1240,11000,67
2212600040,2014-06-04,229500,395338,72,3,1.75,1770,33224,1.0,0,0,4,8,1770,0,1968,0,98092,47.34375,-122.1875,1690,22069,47
88000173,2014-10-15,333000,574094,72,4,2.0,2750,9001,1.0,0,0,3,8,2750,0,2008,0,98055,47.46875,-122.1875,1340,11050,7
3878900464,2015-05-04,229500,396262,72,2,1.75,1870,6625,1.0,0,0,3,7,960,910,1948,0,98178,47.5,-122.25,1680,6000,67
2122059216,2015-04-14,422000,727923,72,4,2.5,2930,5973,2.0,0,0,3,10,2930,0,2008,0,98030,47.375,-122.1875,3038,7095,7
6381500090,2015-02-20,295000,503320,70,4,1.0,1260,7800,1.5,0,0,3,7,1260,0,1947,2007,98125,47.71875,-122.3125,1639,7492,68
4058800930,2014-07-20,385000,654728,70,3,1.75,2370,6360,1.0,0,3,3,7,1280,1090,1954,0,98178,47.5,-122.25,1990,6360,61
8650100120,2014-08-29,339950,580295,70,5,2.5,2990,7292,2.0,0,0,4,8,2990,0,1990,0,98042,47.375,-122.0625,2150,8190,25
9320901250,2014-09-10,133400,38739,70,3,1.0,900,2550,1.0,0,0,4,6,900,0,1978,0,98023,47.3125,-122.375,1120,2550,37
1123049232,2014-06-06,279000,475180,70,5,2.5,2690,5557,2.0,0,0,3,7,2690,0,2012,0,98178,47.5,-122.25,2090,10500,3
8690600050,2014-07-18,255000,434250,70,3,2.5,1530,1116,2.5,0,0,3,7,1530,0,2005,0,98028,47.75,-122.25,1530,7780,10
9476200710,2014-06-08,530000,904949,70,3,2.75,3400,7200,2.0,0,2,3,9,2470,930,2009,0,98056,47.5,-122.1875,1580,8676,6
7702080150,2014-12-01,515000,879270,70,5,2.75,2980,4502,2.0,0,0,3,9,2980,0,2007,0,98028,47.78125,-122.25,2850,4501,8
1386800054,2014-12-01,283450,481477,69,5,2.75,2770,6116,1.0,0,0,3,7,1490,1280,1979,0,98168,47.5,-122.3125,1920,6486,36
7942600910,2014-12-16,575000,174736,69,1,1.0,1310,8667,1.5,0,0,1,6,1310,0,1918,0,98122,47.59375,-122.3125,1130,4800,97
7686202730,2014-08-04,200000,60641,69,2,1.0,830,8000,1.0,0,0,3,6,830,0,1954,0,98198,47.40625,-122.3125,1300,8000,61
3530410081,2014-06-26,216500,367611,69,2,1.75,1390,4482,1.0,0,0,4,8,1390,0,1980,0,98198,47.375,-122.3125,1390,4680,35
8822900115,2014-12-09,306000,517381,69,2,1.75,1200,2622,1.0,0,0,5,7,800,400,1956,0,98125,47.71875,-122.3125,1310,1926,59
2619950060,2014-09-09,465000,788958,69,5,4.0,3210,7200,2.0,0,0,3,8,2410,800,2011,0,98019,47.71875,-121.9375,2750,7200,4
774100475,2014-06-27,415000,704481,69,3,2.75,2600,64626,1.5,0,0,3,8,2600,0,2009,0,98014,47.71875,-121.375,1740,64626,6
1222029064,2014-06-26,420000,129673,69,3,1.75,1444,249126,1.5,0,0,3,7,1444,0,2008,0,98070,47.40625,-122.5,1760,224770,7
3278600680,2014-06-27,235000,399126,69,1,1.5,1170,1456,2.0,0,0,3,8,1070,100,2007,0,98126,47.5625,-122.375,1360,1730,8
